"nid","key_number","display_name","sort_name","parent","biography","present_in_yok"
"22962","2810","General Jubal Early","Early, General Jubal","","<p>A Confederate general in the Civil War who fought in the war's eastern theater. The  essays he wrote for the Southern Historical Society in the 1870s contributed to the myth of the Lost Cause.  But he died in 1894, and so could not have made the comment about General Wheeler serving the U.S. in the Spanish-American War that ""My Grandmother Millard"" attributes to him (673).</p>","No"
"22961","2809","General Braxton Bragg","Bragg, General Braxton","","<p>Braxton Bragg was a Confederate general who commanded the Army of Tennessee.  In ""My Grandmother Millard,"" Colonel Sartoris' troop is, Bayard notes, fighting under his command in that state (674), and Philip Backhouse's uncle is on ""Bragg's personal staff"" (693).</p>","No"
"22960","2808","Philip St-Just Backhouse","Backhouse, Philip St-Just","Backhouse, Father of Philip","<p>""Cousin Philip,"" as Bayard usually refers to him in ""My Grandmother Millard,"" is a 22-year-old ""shavetail"" (lieutenant) in General Forrest's Confederate cavalry troop (694).  Born a ""Backhouse"" - a familiar term for a privy or outhouse - he explains why he cannot change the name by telling Granny and Bayard that the Backhouses include men who fought in both the Revolutionary and Mexican Wars, and who ran for Governor of Tennessee.  The narrative presents him as both a genuinely heroic gentleman and a caricature of the typical hero of Civil War romances by authors not named Faulkner.  Philip thinks the only way to escape the curse of his name is to die nobly in battle, but Granny devises a plan that lets him do that - <em>and</em> marry ""that beautiful girl,"" Melisandre (678, etc. etc.).  That marriage is what makes him Bayard's ""cousin"" in this story, and in the larger Yoknapatawpha canon, an ancestor in turn of the woman Gavin Stevens marries in <em>The Mansion</em> (1960).</p>","Yes"
"22959","2807","Backhouse, Uncle of Philip","Backhouse, Uncle of Philip","Backhouse, Grandfather of Philip","<p>In ""My Grandmother Millard,"" Philip lists his Uncle, who ran unsuccessfully ""for Governor of Tennessee"" on what was obviously a pro-slavery platform, as one of the ancestors who have worn the name ""Backhouse"" with honor (682).</p>","No"
"22958","2806","Backhouse, Father of Philip","Backhouse, Father of Philip","Backhouse, Grandfather of Philip","<p>In ""My Grandmother Millard"" Philip lists his father, who ""died at Chapultepec"" fighting in the Mexican-American War, as one of the ancestors who have born the name ""Backhouse"" with honor (682).</p>","No"
"22957","2805","Backhouse, Grandfather of Philip","Backhouse, Grandfather of Philip","","<p>In ""My Grandmother Millard"" Philip lists this Grandfather, who fought on the colonial side with ""Marion all through Carolina"" during the American Revolution, as one of the ancestors who have born the name ""Backhouse"" with honor (682).</p>","No"
"22956","2804","Unnamed Union Officers","Unnamed Union Officers","","<p>According to ""the tale told"" in <em>Go Down, Moses</em>, this group of Union officers were sitting ""in the leather chairs spitting into the tall bright cuspidors"" in the lobby of the Gayoso Hotel in Memphis when they were surprised by a party of Confederate cavalry  (221).  (See Unnamed Union General 3 elsewhere in this index.)</p>","No"
"22955","2803","Unnamed Union Intelligence Officer","Unnamed Union Intelligence Officer","","<p>In <em>Go Down, Moses</em> Faulkner (or Cass) invents this ""Yankee Intelligence officer"" who finds Lee's ""battle-order . . . on the floor of a saloon"" (272).  (The losing and finding of Lee's order actually happened during the Civil War, but in fact it was found by a Union corporal lying in the grass.)</p>","No"
"22954","2802","Unnamed Union Army Paymaster","Unnamed Union Army Paymaster","","<p>In <em>Go Down, Moses</em>, as part of the Federal force occupying Mississippi after the South surrendered in 1865, this ""travelling Army paymaster"" passes through Jefferson with Percival Brownlee as part of his ""encourage"" (278).</p>","Yes"
"22953","2801","Unnamed Traders and Ship-Owners","Unnamed Traders and Ship-Owners","","<p>In his conversation with Cass about human, and specifically Southern history in <em>Go Down, Moses</em>, Ike generalizes about the kinds of men who, according to him, were responsible for the Civil War.  This entry refers to the group he calls ""the narrow fringe of traders and ship-owners still looking backward across the Atlantic and attached to the [American] continent only by their-counting houses"" (273).  He means the business men who made money from the slave and cotton trade with Africa and Europe.</p>","No"
"22952","2800","Unnamed Townsmen","Unnamed Townsmen","","<p>Among the people who come out to the hunting camp to watch the final hunt for the bear in <em>Go Down, Moses</em> are several men from beyond Yoknapatawpha, ""townsmen, from other county seats like Jefferson"" (212). They come because they have heard of Lion and Old Ben, but are not hunters: ""Some of them didn’t even have guns and the hunting-clothes and boots they wore had been on a store shelf yesterday"" (212).</p>","Yes"
"22951","2799","Unnamed Swamper Who Shoots at Old Ben","Unnamed Swamper Who Shoots at Old Ben","","<p>In <em>Go Down, Moses</em> this ""swamper"" is described as having ""a gaunt face, the small black orifice of his yelling studded with rotten teeth"" (226).</p>","Yes"
"22950","2798","Unnamed Spinster Aunts and Uncles","Unnamed Spinster Aunts and Uncles","","<p>In his conversation with Cass about human, and specifically Southern history in <em>Go Down, Moses</em>, Ike generalizes about a number of different kinds of people who, according to him, brought about the Civil War.  This entry refers to what he calls ""the Boston-bred (even when not born in Boston) spinster descendants of long lines of similarly-bred and likewise spinster aunts and uncles whose hands knew no callus except that of the indicting pen"" - by which he means northern abolitionist writers (273).</p>","No"
"22949","2796","Unnamed Southern Wives and Daughters","Unnamed Southern Wives and Daughters","","<p>In his conversation with his cousin Edmonds in Part 4 of ""The Bear"" in <em>Go Down, Moses</em>, Ike refers to the ""wives and daughters"" of the plantation owners who fed and nursed their sick slaves both in ""their stinking cabins"" and, ""when they were very sick,"" in ""the big house itself"" (271).</p>","Yes"
"22948","2795","Unnamed Enslaved People 1","Unnamed Enslaved People 1","","<p>Slavery is one of the central themes of <em>Go Down, Moses</em>.  There are separate entries in the database for specific individuals and groups of slaves in the novel.  This entry represents the slaves who appear in a number of general references to the human beings who were enslaved until the end of the Civil War.  Ike McCaslin, for example, sees slavery as an ""injustice"" (252), a ""horror and outrage"" (270), but also suggests that not every aspect of it was unjust; at one point he says that slaves were fed and cared for ""when they were sick"" by the (white) ""wives and daughters"" of their masters (271).</p>","Yes"
"22947","2794","Unnamed Slaves of McCaslins 2","Unnamed Slaves or McCaslins 2","","<p>In <em>Go Down, Moses</em> Carothers McCaslin owned a number of slaves, including the ones he brought with him from Carolina and the ones he fathered;  those named slaves have their own entries.  This entry represents the rest of the enslaved people on the McCaslin plantation.    Old Carothers' sons Buck and Buddy, are reluctant to buy Tennie from Hubert Beauchamp because they ""had so many niggers already"" (7), but their reluctance extends to other aspects of slave-owning as well.   As soon as their father was buried, the two men moved out of the big house he was building into ""a oneroom log cabin which the two of them built themselves"" (248), and kept the slaves in the big house.  In what the novel describes as a kind of comedy of manners, the masters locked the front door and the slaves came and went freely out the back.  (See also Unnamed Slaves of McCaslins 1.)</p>","Yes"
"22946","2793","Unnamed Slaves on Beauchamp Plantation","Unnamed Slaves on Beauchamp Plantation","","<p>The Beauchamp property in <em>Go Down, Moses</em> is a large cotton plantation, with an unspecified but clearly large number of slaves who work either in the house or in the fields.  ""Four or five"" of these slaves appear in ""Was"" when they bring horses for the hunt for Tomey's Turl.  During the Civil War most of them leave; according to the narrator, the ""ones that didn't go"" are the ones that their master, Hubert Beauchamp, ""could not have wanted"" (287).</p>","No"
"22945","2792","Unnamed Biracial Sister of Sickymo","Unnamed Biracial Sister of Sickymo","","<p>She is the mistress of a federal official in Yoknapatawpha during Reconstruction, a connection that leads to her brother’s installation as a marshal in Jefferson.  She is described in <em>Go Down, Moses</em> as ""half-white"" (277).</p>","Yes"
"22944","2791","Unnamed Restaurant Manager 2","Unnamed Restaurant Manager 2","","<p><em>Go Down, Moses</em> notes that it is ""a woman"" who manages the restaurant in Memphis where Boon and Ike stop before returning to the hunting camp (222).</p>","Yes"
"22943","2790","Unnamed Real Estate Speculators","Unnamed Real Estate Speculators","","<p>In his conversation with Cass about human, and specifically Southern history in <em>Go Down, Moses</em>, Ike generalizes about a number of different kinds of men who, according to him, were responsible for causing the Civil War.  This entry refers to what he calls ""the wildcat manipulators of mythical wilderness townsites"" (273).</p>","No"
"22942","2789","Unnamed Politicians and Orators","Unnamed Politicians and Orators","","<p>In his conversation with Cass about human, and specifically Southern history in <em>Go Down, Moses</em>, Ike generalizes about a number of different kinds of men outside the South who, according to him, were part of the explanation for the Civil War.  This entry refers to what he calls ""the thundering cannonade of politicians earning votes and the medicine-shows of pulpiteers earning Chautauqua fees"" (270) - by which he means the political men and popular orators who campaigned and spoke against slavery.</p>","No"
"22941","2788","Unnamed Crop Duster 1","Unnamed Crop Duster 1","","<p>In <em>Go Down, Moses</em> this pilot dusts the crops to kill insects on the fields that make up the Edmonds plantation - except for the plot farmed by Lucas Beauchamp.</p>","Yes"
"22940","2787","Unnamed People in Downtown Memphis 2","Unnamed People in Downtown Memphis 2","","<p>The people that Ike sees on the streets of Memphis in <em>Go Down, Moses</em> are well-dressed, ""men in starched collars and neckties"" and ""in fine overcoats"" (219), ""and the ladies rosy in furs"" (221).</p>","No"
"22939","2786","Unnamed People in Chancellor's Office","Unnamed People in Chancellor's Office","","<p>""There were a few people going in and out of the office; a few inside, not many"" on the day that Roth Edmonds takes Molly Beauchamp to seek a divorce from Lucas Beauchamp in <em>Go Down, Moses</em> (122).</p>","Yes"
"22937","2785","Unnamed Parents of Rider","Unnamed Parents of Rider","","<p>This couple appears in ""Pantaloon in Black"" as a story and again as a chapter in <em>Go Down, Moses</em> only negatively: Rider ""could not remember his parents at all"" (130).  He was raised by his aunt.</p>","Yes"
"22936","2784","Unnamed Spectators at Indian Mound","Unnamed Spectators at Indian Mound","","<p>In <em>Go Down, Moses</em> these ""men women and children come at some time during the day and look quietly on"" as the archaeologists investigate the Indian mound (37).</p>","Yes"
"22935","2783","Unnamed Northern Laborers","Unnamed Northern Laborers","","<p>Ike's account of U.S. history in <em>Go Down, Moses</em> divides the North during the Civil War era into the capitalist class and the workers.  That second group is who is represented by this entry: ""the New England mechanics who didn't even own land,"" the factory workers who lived in ""rented tenements,"" and so on (273).</p>","No"
"22934","2720","Unnamed Northern Businessmen 2","Unnamed Northern Businessmen 2","","<p>Ike McCaslin's account of the Civil War in <em>Go Down, Moses</em> juxtaposes the leaders of the Confederate cause with the various Yankees who opposed them.  This entry represents his roster of the economic elite in northern and western states that didn't secede: ""the wildcat manipulators"" and land speculators, ""the bankers,"" the landlords and factory owners (273).</p>","No"
"22933","2782","Unnamed Children of Mrs. McCaslin's Sister|Niece","Unnamed Children of Mrs. McCaslin's Sister|Niece","","<p>As a widower, in ""Delta Autumn"" and <em>Go Down, Moses</em> Ike McCaslin lives in a house in Jefferson with members of his dead wife's family.  The short story identifies the woman in that ""family"" as his wife's niece and says nothing about the rest of them (274).  The novel calls her Ike's ""sister-in-law"" at the beginning of the novel (6) and his ""dead wife’s widowed niece"" near the end (335), and identifies the rest of the ""family"" as her children.</p>","Yes"
"22932","2781","Unnamed Negro Field Workers","Unnamed Negro Field Workers","","<p>In its account of the position Sam Fathers occupies on the McCaslin-Edmonds plantation, <em>Go Down, Moses</em> mentions the tenant farmers who ""farmed allotted acres"" but also acknowledges the existence of the men who do ""field-work for daily wages"" (161).  However, although wage labor was replacing tenantry in parts of the South, no such salaried field-workers appear in the novel.</p>","Yes"
"22931","2780","Unnamed Negro Tenant Farmers 4","Unnamed Negro Tenant Farmers 4","","<p>In it clearly implied in <em>Go Down, Moses</em> that the labor on the McCaslin-Edmonds plantation is supplied by Negro tenant farmers.  They don't appear in the novel, but when Lucas sees the sun coming up he thinks that in ""another hour . . . every field along the creek would have a negro and a mule in it"" (40).  Like the fields, these mules belong to Roth Edmonds.</p>","Yes"
"22930","2779","Unnamed Negro Carriage Driver 2","Unnamed Negro Carriage Driver 2","","<p>In <em>Go Down, Moses</em> the servant who drives Major de Spain's coach is the man who lends Boon the gun he used to shoot at another Negro.</p>","Yes"
"22928","2777","Unnamed Biracial Woman at Beauchamp Place","Unnamed Biracial Woman at Beauchamp Place","","<p>This young woman who lives in the Beauchamp big house after Emancipation in <em>Go Down, Moses</em>, with skin ""even lighter in color than Tomey’s Terrel,"" is identified by Hubert Beauchamp as his cook (288); however, his sister Sophonsiba is almost certainly right to suspect that she is also his mistress.  In response to Sophonsiba's accusation that this woman's presence ""defiles"" their home, Hubert exclaims ""They’re folks too just like we are!"" (288).  But she is last seen hurrying away from the house, ""the worn heavy carpet-bag jouncing and banging against her knee, routed and in retreat"" (288).</p>","No"
"22927","2776","Unnamed Men Who Live in the Big Bottom","Unnamed Men Who Live in the Big Bottom","","<p>In <em>Go Down, Moses</em> various combinations of the ""gaunt, malaria-ridden"" men who live in the wildest parts of the big woods (210)  appear in  throughout the year to look at the dog named Lion while Sam is training him.  Many of them feel invested in the hunt for Old Ben, since the bear often raided their crops and attacked their livestock.  These 'swampers' are also described as those ""who ran trap-lines for coons or perhaps farmed little patches of cotton and corn along the edge of the bottom, in clothes but little better than Sam Fathers' and nowhere near as good as Tennie’s Jim's, with worn shotguns and rifles"" (210).  They come primarily to watch the hunt, not to shoot.</p>","Yes"
"22926","2775","Unnamed Jefferson Townsmen 3","Unnamed Jefferson Townsmen 3","","<p>In <em>Go Down, Moses</em> the named men from town who come into the woods to be part of the hunt for Old Men are Bayard and John Sartoris and Jason Compson, but the group also includes these two unnamed men.</p>","Yes"
"22925","2774","Unnamed Men in Search Party","Unnamed Men in Search Party","","<p>In addition to Roth Edmonds, Oscar, Dan, Lucas Beauchamp, George and Nat Wilkins, the search party that goes looking for Molly Beauchamp in <em>Go Down, Moses</em> includes at least two additional characters, simply referred to first as ""some others"" and then as ""another man"" (120).  The race of these people is not indicated, which in Faulkner's fiction usually means someone is white.  Elsewhere in the novel, however, it is clear that the only white man who lives on the McCaslin-Edmonds plantation is Roth, which explains why we identify these 'other men' as 'Negro.'</p>","Yes"
"22924","2773","Unnamed Logging Train Engineer","Unnamed Logging Train Engineer","","<p>This ""engine-driver"" blows the whistle at two different points in <em>Go Down, Moses</em>: after stopping the train on its first run, to scare away the young bear investigating the tracks (303); and to let Ike know they are approaching the area of the hunting camp (306).</p>","Yes"
"22923","2772","Unnamed Loggers","Unnamed Loggers","","<p>These unarmed loggers who join the hunt for Old Ben in <em>Go Down, Moses</em> travel thirteen miles to get to Major de Spain’s camp.</p>","Yes"
"22922","2771","Unnamed Victims of the Ku Klux Klan","Unnamed Victims of the Ku Klux Klan","","<p>During Reconstruction, according to the Cass Edmonds' account of it in <em>Go Down, Moses</em>, the lynched ""bodies of white and black both"" hung ""from lonely limbs"" along the road and black men were ""shot dead in polling-booths"" while trying to vote - victims, still according to Cass' representation, ""not so much of hate as of desperation and despair"" (277).</p>","Yes"
"22921","2770","Unnamed Veteran Klansman","Unnamed Veteran Klansman","","<p>Only one member of the Ku Klux Klan has any individual existence in ""By the People"" or <em>The Mansion</em>: a ""veteran ranking Klansman"" who seems to accept defeat at the hands of the ""schoolteachers and editors and Sunday School superintendents"" who elected Clarence Snopes as their champion (131, 333).</p>","Yes"
"22920","2769","Unnamed Members of Ku Klux Klan 1","Unnamed Members of Ku Klux Klan 1","","<p>As part of the account in <em>Go Down, Moses</em> of Reconstruction in the South, these white men ""armed in sheets and masks"" who terrorize freed blacks are described (277).  The details of the description suggests the Ku Klux Klan, especially ""formalized regalia of hooded sheets"" and ""fiery christian symbols"" (276), but this group is never given a label.  And astonishingly, the narrator suggests that its original founders were the descendants of the carpetbaggers from the North, lynching ""the race their ancestors had come to save"" (276).  The narrator also includes ""the bodies of white"" men among the victims of these lynchings (277).  (See also the entry for Unnamed Night Riders in this index.)</p>","Yes"
"22919","2768","Unnamed Group of Young Negroes","Unnamed Group of Young Negroes","","<p>One of Roth Edmonds' grievances against Lucas Beauchamp in <em>Go Down, Moses</em> is that, when he would speak to the white man in the presence of ""a group of young negroes,"" he would ""lump"" black and white ""all together as 'you boys'"" (112).</p>","Yes"
"22918","2767","Unnamed Grandfather of Will Legate","Unnamed Grandfather of Will Legate","","<p>When Ike tells the younger hunters in the ""Delta Autumn"" chapter of <em>Go Down, Moses</em> about the old days ""when I first started hunting in this bottom,"" he mentions that among the men who hunted with him was ""Will Legate's"" grandfather (328).</p>","Yes"
"22917","2766","Unnamed Frightened Women and Children","Unnamed Frightened Women and Children","","<p>As part of his description in <em>Go Down, Moses</em> of Reconstruction in the South, Ike McCaslin imagines ""women crouched with huddled children behind locked doors,"" seeking shelter from threats that are not named in the text, but are clearly meant to be understood as a consequence of the defeat of the (white) South and the emancipation of the (black) South (277).</p>","Yes"
"22916","2765","Unnamed Friends of Roth Edmonds","Unnamed Friends of Roth Edmonds","","<p>Roth Edmonds meets with these unnamed friends after church in ""The Fire and the Hearth"" chapter of <em>Go Down, Moses</em>; their farm is eight miles from the Edmonds plantation.</p>","Yes"
"22915","2764","Unnamed Federal Army Provost Marshal 1","Unnamed Federal Army Provost Marshal 1","","<p>An A[rmy] P[rovost] M[arshal] is the head of a unit of military police.  This ""Federal A.P.M."" in <em>Go Down, Moses</em> is one of the Yankee troops who are stationed in Mississippi as part of the post-war Reconstruction (277).  He has a black mistress, the sister of Sickymo, which is why he ensures that Sickymo is made a marshal in Jefferson.</p>","Yes"
"22914","2763","Unnamed Father-in-Law of Ike McCaslin","Unnamed Father-in-Law of Ike McCaslin","","<p>In <em>Go Down, Moses</em> this ""bank president,"" who tells Ike about the bank account in Ike's name that Cass Edmonds has been paying money into (295), is certainly not Bayard Sartoris, who is also a Jefferson bank president at the time of the novel.  This ""bank president"" is never named, but although the text is not explicit, it seems likely that he is the father of the woman - also never named - whom Ike marries.  She and Ike meet while Ike and his partner are ""building the [banker's] barn this time from the ground up"" (296), which seems to refer back to the ""stable of the bank's president"" that Ike and his partner work on earlier (295).</p>","Yes"
"22912","2761","Unnamed Ex-Slaves of Carothers McCaslin","Unnamed Ex-Slaves of Carothers McCaslin","","<p>The three paragraph introductory to <em>Go Down, Moses</em> says that ""some of the descendants"" of the former McCaslin slaves are named McCaslin (5), but curiously no such characters appear in the rest of the story.  There the family name of the many people who are descendants of Carothers McCaslin and his slaves is Beauchamp.  (There are some of these descendants named McCaslin in <em>The Reivers</em>, published twenty years after <em>Moses</em>.)</p>","Yes"
"22910","2760","Unnamed County Clerk","Unnamed County Clerk","","<p>In both ""A Point of Law"" and <em>Go Down, Moses</em> the signature of this ""nameless clerk"" appears on the marriage license for George Wilkins and Nat Beauchamp (221, 70).</p>","Yes"
"22909","2759","Unnamed Negro Cook 8","Unnamed Negro Cook 8","","<p>The black woman who cooks Roth's food does not appear directly in <em>Go Down, Moses</em>, but he does speak to her ""through the kitchen door"" when he wants her to bring Lucas into the house (125).</p>","Yes"
"22908","2758","Unnamed Chancellor","Unnamed Chancellor","","<p>The Chancellor at the Jefferson courthouse in <em>Go Down, Moses</em> hears the divorce petition that Roth Edmonds has put forth for Lucas and Molly Beauchamp. He is described as “quite old” (123).</p>","Yes"
"22907","2757","Unnamed Boarding House Tenants 2","Unnamed Boarding House Tenants 2","","<p>After Ike renounces his inheritance in <em>Go Down, Moses</em>, he and his wife live for a time in a boarding house in Jefferson whose other tenants are described as ""petit juries,"" countrymen in town to serve as jurors ""during court terms,"" and ""itinerant horse- and mule-traders"" (285).</p>","Yes"
"22906","2756","Unnamed Enslaved Man at Beauchamps","Unnamed Enslaved Man at Beauchamps","","<p>In the ""Was"" chapter of <em>Go Down, Moses</em>, this unnamed member of the group of slaves who are part of the hunt for Tomey’s Turl is the one who returns to the big house to fetch a fyce, whiskey, and a ""piece of red ribbon that had been on Miss Sophonsiba's neck"" that she sends to Buck (17).</p>","No"
"22905","2755","Unnamed Bank President 2","Unnamed Bank President 2","","<p>In <em>Go Down, Moses</em> Ike McCaslin meets with this man in the little town of Midnight, Arkansas, to make sure that Fonsiba gets her legacy in installments over a long period of time.  He is describe as a ""translated Mississippian"" and a former Confederate who, like Ike's father, served under Nathan Bedford Forrest in the Civil War (267).</p>","Yes"
"22904","2754","Unnamed Authors of the Bible","Unnamed Authors of the Bible","","<p>The first time Ike refers to the Bible in <em>Go Down, Moses</em>, he talks about it as the word of God: ""He told in the Book,"" etc. (243).  But when Cass challenges him on the subject of race in the Bible, repeating the familiar pro-slavery argument that the enslaved Africans were the accursed ""sons of Ham"" (246), Ike introduces the idea of ""the men who wrote His Book for Him"" (246), i.e. the human authors who ""transcribed His Words,"" and often misquoted Him, or misrepresented His will, despite their desire to ""write down the heart's truth"" (247).</p>","No"
"22903","2753","Unnamed Aunt of Nat Beauchamp","Unnamed Aunt of Nat Beauchamp","","<p>This ""aunt"" (68) in Vicksburg whom Nat visits in <em>Go Down, Moses</em> is only mentioned once, when Nat tells Roth Edmonds about her trip.  Based on the rest of the novel, it's hard to know how this aunt is related to either of Nat's parents, Molly or Lucas.</p>","No"
"22902","2752","Unnamed Assistant to Judge Gowan","Unnamed Assistant to Judge Gowan","","<p>Judge Gowan's assistant in <em>Go Down, Moses</em> is described as a “young, brisk, slightly harried white man in glasses” (70).</p>","Yes"
"22901","2751","Unnamed Archaeologists 1","Unnamed Archaeologists 1","","<p>The archaeologists mentioned in <em>Go Down, Moses</em> are ""a group of white men, including two women,"" who descend on the Indian mound to study the ways of the ""old people.""  Most of them are bespectacled and all are dressed in ""khaki clothes which had patently lain folded on a store shelf twenty-four hours ago"" (37).</p>","Yes"
"22900","2750","Unnamed ""Hunters""","Unnamed ""Hunters""","","<p>These ""hunters"" are created by the narrator at the start of ""The Bear"" chapter in <em>Go Down, Moses</em>, when he defines ""hunters"" as a exalted category of its own, a quasi-spiritual group, men who are ""not white nor black nor red but men, hunters"" (181).  Distinguished also from ""women,"" ""boys,"" and ""children,"" hunters tell stories about hunting while drinking liquor ""in salute to"" their prey (181-82).  Even the camp cooks, however, are ""hunters first and cooks afterward"" (185).</p>","Yes"
"22899","2749","Henry Wyatt","Wyatt, Henry","","<p>In the ""Delta Autumn"" chapter of <em>Go Down, Moses</em> Wyatt joins Will Legate, Roth Edmonds, and Ike McCaslin and some other men from Yoknapatawpha on the hunting trip to the Delta.  There are five other 'Wyatts' in four other Yoknapatawpha fictions, but how or if Henry is related to any of them is never mentioned.</p>","Yes"
"22898","2748","The Jew","The Jew","","<p><em>Go Down, Moses</em> introduces the character it calls ""the Jew"" into its account of the Reconstruction era in the South.  According to that account, ""the Jew"" arrives in the post-Civil-War South ""seeking some place to establish"" for his ""great-grandchildren""; he is the local type of the ""pariah"" who was wandered ""about the face of the Western earth"" for ""twenty centuries"" (277).  The narrator credits him with ""a sort of courage,"" but he remains an essentially stereotypical figure, one of the outsiders who move into the defeated South as parasites (277).</p>","Yes"
"22897","2747","Sickymo","Sickymo","","<p>Sickymo was a U.S. marshal in Jefferson during Reconstruction, a period in which more than 2,000 African-Americans - many of them, like Sickymo, former slaves - held public office.  Because he is illiterate, he ""signs his official papers with a crude cross"" (277).When still a slave, he stole alcohol, diluted it, and stored it in a sycamore tree in order to sell it - hence his name.   His character and tenure in office are referred to in <em>Go Down, Moses</em> as an instance of the evils that befell the defeated (white) South after the loss of the Civil War.</p>","Yes"
"22896","2746","Mr. Semmes","Semmes, Mr.","","<p>In <em>Go Down, Moses</em> Semmes is a distiller in Memphis to whom Boon and Ike are sent by Major de Spain for whisky during the annual hunting trip.</p>","Yes"
"22895","2745","Doctor Rideout","Rideout, Doctor","","<p>He is the doctor consulted in <em>Go Down, Moses</em> after Molly Beauchamp is found unconscious along the creek (120).</p>","Yes"
"22894","2744","Sally Rand","Rand, Sally","","<p>Sally Rand was a minor actress and nightclub dancer who became famous at the 1933 Chicago World's Fair when she danced apparently naked, using a pair of ostrich feather ""fans"" to reveal and conceal her body in provocative ways that got her arrested four times in one day (323).</p>","No"
"22893","2743","General George Meade","Meade, General George","","<p>George Meade was given command of the Army of the Potomac just three days before the battle of Gettysburg, site of the charge by Pickett's confederate troops which proved to be a decisive defeat for the Confederate cause.  In <em>Go Down, Moses</em>, Cass is referring to that defeat when he notes, somewhat obscurely, that Jeb Stuart and his cavalry troops were not at the battle, ""when Lee should have known of all of Meade just where Hancock was on Cemetery Ridge"" (272).  Meade was in command of ""Hancock"" and his Union troops; Cemetery Ridge was the point at which Pickett's ill-fated charge was directed.</p>","No"
"22892","2742","Jonas","Jonas","","<p>Jonas, one of the slaves on the McCaslin plantation when it was owned by Buck and Buddy, appears once in <em>Go Down, Moses</em> in the familiar pose of the 'lawn jockey': ""Jonas had the two horses saddled and waiting"" (9).</p>","Yes"
"22891","2741","Hulett","Hulett","","<p>In <em>Go Down, Moses</em> Hulett works for the Chancellor at the Jefferson courthouse, whom Roth Edmonds and Mollie Beauchamp visit regarding a petition for divorce for the Beauchamps.  He makes several sharp remarks concerning racial decorum and Lucas’s ""uppity"" failure to observe it (124).</p>","Yes"
"22890","2740","Hancock, General Winfield Scott","Hancock, General Winfield Scott","","<p>General Winfield Scott Hancock, whom Cass Edmonds mentions in <em>Go Down, Moses</em> as part of his argument with Ike McCaslin about God's role in Southern history (271), was a corps commander in the Army of the Potomac, and as Cass notes, ""on Cemetery Ridge"" at Gettysburg (272).</p>","No"
"22889","2739","God Whom Ike McCaslin Describes","God Whom Ike McCaslin Describes","","<p>In the 4th section of ""The Bear"" chapter in <em>Go Down, Moses</em>, during his long conversation with his cousin Cass about the history of the world with particular reference to the Old and New South and Ike's own belief that he must relinquish his inheritance from the past, Ike has a lot to say about God - as both the author of the Bible and the providential force behind human events.  Ike most frequently refers to this divinity as ""He,"" always capitalizing the H (243, etc).  It must be clearly stated that by representing ""Him"" as an upper class white male, we are trying to capture <em>Ike</em>'s idea of ""God,"" not our own or anyone else's.   It is awkward to try representing ""God"" with any icon, but since Ike repeatedly mentions ""Him"" and the role ""He"" plays in historical events and what ""He"" said in ""the Book"" (243), we felt he had to be included in the novel's cast of Characters - as it seems to us that Ike imagines ""Him.""</p>","No"
"22888","2738","Phoebe","Phoebe","","<p>In <em>Go Down, Moses</em> Phoebe (or ""Fibby,"" as her name is written by Buck McCaslin in the plantation ledger, 252) is one of the slaves that ""Carothers McCaslin"" inherited and brought with him to Yoknapatawpha from Carolina (249).  She is the wife of Roscius (spelled ""Roskus"" in the ledger, 252), and like him manumitted when Old Carothers dies in 1837; also like him, according to the ledger, she ""Dont want to leave"" (252) and remains on the plantation until her death in 1849.</p>","Yes"
"22887","2737","Daisy","Daisy","","<p>Daisy is mentioned in <em>Go Down, Moses</em> by Major de Spain when he tells Ike that Ash would be glad to go into the woods, ""where he won't have to eat Daisy's cooking"" (301).  It seems clear that like Ash, Daisy works for the Major as a cook, and it becomes likely that she is Ash's wife when De Spain adds ""complain about it"" - her cooking - ""anyway"" (301).</p>","Yes"
"22886","2736","Percival Brownlee","Brownlee, Percival","","<p>In <em>Go Down, Moses</em> Buck McCaslin purchases Percival Brownlee from Bedford Forrest, and quickly learns that Percival is unable to perform any of the tasks to which he and his brother Buddy assign the slave.  When Percival is emancipated as a result of the McCaslins' frustrations with him, he refuses to leave the plantation.  He disappears during the Civil War, but reappears during Reconstruction as a preacher, ""leading the singing also in his high sweet true soprano voice,"" and again in the ""entourage"" of an Army paymaster (278).  He is repeatedly figured as effeminate, particularly as he leaves town with a ""defiant female glance"" (278).  The last rumors describe him as ""an old man now and quite fat . . . the well-to-do proprietor of a select New Orleans brothel"" (279).</p>","Yes"
"22885","2735","Hubert Beauchamp","Beauchamp, Hubert","Beauchamp, Father of Hubert and Sophonsiba","<p>The full name of Ike McCaslin's ""Uncle Hubert"" in <em>Go Down, Moses</em>, as readers learn when he signs the i.o.u.'s he leaves his nephew instead of a golden treasure, is Hubert Fitz-Hubert Beauchamp. The son of the man who built it, he owns the ""Warwick"" plantation that is half-a-day’s ride from the McCaslin plantation. After the Civil War he takes a black mistress for a while, and then lives with an aged black servant ""in one single room"" in the decaying mansion (290) until it burns down. His vainglorious attempt to leave a legacy for his nephew, Ike McCaslin, is a comic failure, but the story of that dwindling inheritance speaks to the changing fortunes of another plantation family after the Civil War.</p>","Yes"
