"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"The Mansion","M","1007","Montgomery Ward Snopes' Studio","Office/store","Context (text, as interpreted)","The Town","1 249","835","<p>In a back alley off the Square, Montgomery Ward poses as a commercial photographer while actually running what V.K. Ratliff calls a ""nekkid picture business"" (57): in the darkness of night men from as far away as ""three county seats over"" visited it to view the the French postcards that Monty brought back from the First World War (62).  The business, and the studio, are described in more detail in <em>The Town</em>.</p>","","","","","","","","","Montgomery Ward Snopes' Studio","Continuous","Specialty Store","Site of Event","","","","",""
"The Mansion","M","212","Parchman Penitentiary","OutOfYoknapatawpha","Text (when unambiguous)","""A Point of Law"", ""Go Down, Moses"", ""Monk"", ""Smoke"", ""There Was a Queen"", Go Down, Moses, The Reivers , The Town","2 304","385","<p>Better known as Parchman Farm, the Mississippi state prison is a maximum-security facility that has been in operation since 1901.  It is located in the Delta, the often-flooded part of the state that lies along the Mississippi River; when Mink looks out the window of the train carrying him to prison, he sees a ""vast flat alluvial swamp of cypress and gum and brake and thicket . . . out of which man was still hewing savagely and violently the rich ragged fields in which cotton stalks grew ranker and taller than a man on a horse"" (52).  And the prison itself is described as a ""single gate guarded day and night by men with shotguns, and inside it the low grim brick buildings with their barred windows"" (54).  Part of the punishment of the prisoners at Parchman, including Mink, is to work a state-owned cotton field.</p>","","","","","","","","","Parchman Penitentiary","Continuous","Jail; Field","Site of Event","","","","",""
"The Mansion","M","039","Jefferson Railroad Station","Office/store","Text (when unambiguous)","""Go Down, Moses"", ""Hair"", ""Monk"", ""Mule in the Yard"", ""The Tall Men"", ""There Was a Queen"", ""Uncle Willy"", As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Hamlet, The Reivers , The Sound and the Fury, The Town, The Unvanquished","1 156","800","<p>A hub of transportation and commerce, the Jefferson railroad station appears in many of Faulkner's works.  When Mink goes there to spend the night at the start of the novel, it is a lively place:  lit with ""the red and green of the signal lamps,"" the horse-drawn ""hacks"" and one ""automobile jitney"" waiting outside,  ""the long electric-lighted shed already full of the men and boys come down to see the train pass"" (38).  After Mink's decades in prison, however, it is in decline: ""there had not been a passenger train through Jefferson since 1935,"" and the railroad itself has become ""a fading weed-grown branch line knowing no wheels anymore save two local freight trains more or less every day"" (446).  In Oxford, the train station was converted into a bus depot in 1937, so we are assuming that ""the bus depot"" that Charles mentions on page 199 is located here too; when Essie Nightingale goes to meet the bus from Memphis, she is described as ""waiting at the station"" (372).</p>","","","","","","","","","Railroad Station|Bus Station","Continuous","Railroad Station","Site of Event","","","","",""
"The Mansion","M","167","Negro Hollow|Freedman Town","Cabin","Context (text, as interpreted)","""Knight's Gambit"", ""That Evening Sun"", Intruder in the Dust, Light in August, The Sound and the Fury","1 176","759","<p>Identified as ""Nigger Hollow"" in <em>The Sound and the Fury</em> and ""Freedmantown"" in <em>Intruder in the Dust</em>, this ""section"" of ""all Negro homes"" lies between the Square and the railroad tracks (38).  In <em>The Mansion</em>, Faulkner describes this area of Jefferson as ""peaceful"" and emphasizes its recent modernization. Where in his earlier fiction, the road leading through this area of town becomes a dirt road, now the section is more like the rest of town, ""even with electric lights too"" (38).  The ""small dingy back- and side-street stores which catered mostly to Negroes"" are presumably located on the edges of this section (362).  Toward the close of the novel, Mink re-enters the town through this same section, moving from the tracks of the rail to the first ""single lonely street light"" (447) and seeing a black boy on a bike.</p>","","","","","","","","","Negro Section","Continuous","Negro District","Site of Event","","","","",""
"The Mansion","M","008","Holston House","Office/store","Faulkner map","""A Name for the City"", ""By the People"", ""Skirmish at Sartoris"", Absalom, Absalom!, Requiem for a Nun, The Reivers , The Town, The Unvanquished","1 232","788","<p>In eight other Yoknapatawpha fictions, the Holston House is the oldest building in Jefferson, dating back to Jefferson's origins as an Indian agency. The hotel was built by Alexander Holston, one of the county's first settlers, and is still run by his descendants, two maiden sisters. Originally a ""log ordinary,"" the hotel had since become a ""modern edifice"" whose central feature is a fancy dining room which contains ""two long communal tables"" (421).  It is described first as the place where ""drummers"" - traveling salesmen - stay and ""sit in leather chairs along the sidewalk"" (37).   The description of it at the other end of the novel, however, suggests a considerably more formal place: it ""still clung to the old ways, not desperately nor even gallantly: just with a cold and inflexible indomitability"" so that ""no man"" dined there ""without a coat and necktie and no woman with her head covered"" (421).</p>","","","","","","","","","Holston House","Continuous","Hotel","Site of Event","","","","",""
"The Mansion","M","054","Jefferson Courthouse and Square","Courthouse Square","Faulkner map","""Appendix: Compson"", ""Beyond"", ""By the People"", ""Centaur in Brass"", ""Death Drag"", ""Dry September"", ""Elly"", ""Fool About a Horse"", ""Go Down, Moses"", ""Gold Is Not Always"", ""Hair"", ""Lion"", ""Monk"", ""Mule in the Yard"", ""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek"", ""Pantaloon in Black"", ""Raid"", ""Retreat"", ""Shall Not Perish"", ""Shingles for the Lord"", ""Skirmish at Sartoris"", ""Smoke"", ""Spotted Horses"", ""That Evening Sun"", ""The Old People"", ""The Tall Men"", ""The Unvanquished"", ""There Was a Queen"", ""Tomorrow"", ""Two Soldiers"", ""Uncle Willy"", ""Vendee"", Absalom, Absalom!, As I Lay Dying, Flags in the Dust, Go Down, Moses, Intruder in the Dust, Light in August, Requiem for a Nun, Sanctuary, The Hamlet, The Reivers , The Sound and the Fury, The Town, The Unvanquished","1 290","810","<p>The county courthouse and the Square around it that sit in the center of Jefferson is at the center of many of Faulkner's fictions.  <em>The Mansion</em> describes the Square as a place teeming with life: Mink, for example, walks along the Square and sees the ""young people, young men and girls in their city clothes eating and drinking"" in the drugstores there (36).  The novel begins inside the courthouse, with the conclusion of Mink Snopes' murder trial; also inside the building are the Sheriff's and county supervisors offices, and a room in which the ""records"" and documents of the county's economic and legal transactions are stored (355).  Outside, the most prominent external feature of the courthouse is the ""four lighted faces of the clock"" that sits ""on top of the building"" and stands above the other buildings of Jefferson (37). The Confederate monument stands in front of the structure (223). We have also used this site to locate events that occur at unspecified places in Jefferson, as when the ""Sartoris Rifles"" meet (204), and to provide a location for the collective entity, the 'people of Yoknapatawpha County.' For instance, there are many times in the novel where the people act in union or believe an idea collectively. In such cases, the Courthouse Square serves as the site for these events, even though this citizenry is spread out across the county.</p>","","","","","","","","","Courthouse and Square","Continuous","Courthouse and Square; Courthouse|Trial; Courthouse|Offices; Jefferson Event","Site of Event","","","","",""
"The Mansion","M","162","Rouncewell's Boarding House|Commercial Hotel","Office/store","Context (text, as interpreted)","""Tomorrow"", The Reivers","1 246","772","<p>This is an ""unpainted two-storey building on a back street"" (35) that Mrs. Rouncewell ""calls the Commercial Hotel"" while ""all the rest of Yoknapatawpha County"" calls it ""the Rouncewell boarding house"" (143).  It is eventually owned by Flem.</p>","","","","","","","","","Commercial Hotel","Continuous","Boarding House","Site of Event","","","","",""
"The Mansion","M","824","Jefferson Side-Street Restaurant","Office/store","Context (text, as interpreted)","""Centaur in Brass"", ""Lizards in Jamshyd’s Courtyard"", Flags in the Dust, Light in August, The Hamlet, The Town","1 194","844","<p>This side-street restaurant is a regular fixture in the Snopes trilogy, and it passes from Ratliff to Flem, who uses it to build his small-town business empire. When it is first mentioned in <em>The Mansion</em>, it is still owned by Ratliff and is described as a ""small dingy back-street eating-place"" (35).  After Flem takes possession, the novel refers to it as a ""Dirty Spoon"" (214).  The ""canvas tent"" that Flem erects behind it is his first residence in Jefferson (140).</p>","","","","","","","","","Side-Street Restaurant","Continuous","Restaurant","Site of Event","","","","",""
"The Mansion","M","1049","Blackwater Slough","Event","Context (text, as interpreted)","","1 817","1 125","<p>A slough is a narrow, shallow inlet or pond, usually in swampy terrain near a river.  The narrative associates the location of ""Blackwater Slough"" (35) with the dam at Varner's Mill, where ""the last bear"" in Frenchman's Bend was seen (34).</p>","","","","","","","","","Blackwater Slough","Continuous","Swamp|Slough","Only Mentioned in Text","","","","",""
"The Mansion","M","209","Jefferson Hardware Store","Office/store","Context (text, as interpreted)","""Fool About a Horse"", Flags in the Dust, The Hamlet, The Reivers , The Sound and the Fury, The Town","1 291","850","<p>The Jefferson hardware store becomes a site in <em>The Mansion</em>'s narrative when Mink Snopes goes there to buy buckshot shells and Ike McCaslin, a ""junior partner"" in the business, refuses to sell him any (34).  But much later the narrator details the history of the business, in what seems to be Faulkner's attempt to reconcile inconsistencies about the store's ownership that appear in the collected Yoknapatawpha fictions.  As in <em>The Sound and the Fury</em>,  Jason Compson works in the town's hardware store, but now the narrator explains that Earl Triplett, who owned the business in the earlier novel, is only its manager; the store is ""Uncle Ike McCaslin's"" (355).  The narrator goes on to note that Triplett ""eliminated Uncle Ike from the business"" before Jason ""eliminated Triplett,"" so that eventually ""for all practical purposes Jason Compson was now the McCaslin Hardware Company"" (355).  This account introduces inconsistencies of its own - who was Ike's original senior partner? - but it serves <em>The Mansion</em> mainly to explain how Jason could afford to buy back his family's ""original holding"" (355).</p>","","","","","","","","","McCaslin Hardware Store","Continuous","Hardware Store","Site of Event","","","","",""
"The Mansion","M","1048","Punkin Creek Mill","Other Structure","Speculation","","1 378","1 125","<p>Jody claims that Will Varner went to ""a mill on Punkin Creek"" (30).  Although the text provides no details about where Punkin Creek is, we are assuming Faulkner is thinking of the actual ""Pumpkin Creek"" in southeastern Lafayette County.</p>","","","","","","","","","Punkin Creek Mill","Continuous","Mill","Only Mentioned in Text","","","","",""
"The Mansion","M","619","Caledonia Chapel","Church","Other Text(s)","Intruder in the Dust","1 752","492","<p>A major location in <em>Intruder in the Dust</em> (1948), in <em>The Mansion</em> ""Caledonia Chapel"" is only casually mentioned, as the place where Mink claims he sold his cow to ""the Gowrie boys"" (11).  Curiously, Faulkner calls the part of Yoknapatawpha where the Gowries live ""Beat Nine"" in this novel (67), whereas it is repeatedly referred to as Beat Four in the earlier novel (and in no Yoknapatawpha fiction do the beat numbers assigned the county's administrative districts exceed 5).  In any case, we have located this ""Chapel"" in the place where it stands in <em>Intruder</em>.</p>","","","","","","","","","Caledonia Chapel","Continuous","Church","Only Mentioned in Text","","","","","Intruder in the Dust"
"The Mansion","M","860","Mink Snopes' Farm","Cabin","Context (text, as interpreted)","The Hamlet","1 619","1 137","<p>Mink Snopes lives with his family in a ""paintless repairless tenant cabin"" (10) somewhere in the hills north of Frenchman's Bend.  The area is described as ""a section of small worn-out farms tilted and precarious among the eroded folds like scraps of paper"" (458).  The land Mink farms is owned by Will Varner.  The property is not described in much detail, but the pasture around the cabin is described as ""meagre,"" further accentuating Mink's poverty as a sharecropper (10).  When Mink finally returns here after all his years in prison, all that remains of the cabin is ""part of the roof,"" parts of the walls, and ""a hole in the ground"" - what was once the cellar - which is where Mink takes refuge after killing Flem (459).</p>","","","","","","","","","Mink's Cabin","Destroyed","Farm; White-occupied Cabin; Pasture","Site of Event","","","","",""
"The Mansion","M","1047","Negro Farm with Bull","Farm","Context (text, as interpreted)","","1 806","1 153","<p>This ""Negro's house"" with its ""empty yard"" is where Mink takes his milk cow ""to claim a second stand from the bull"" after the first one failed to impregnate her (9).  It is ""three miles"" from Mink's cabin, though we have had to speculate about the direction.  The Negro who lives there with his family is prosperous enough to own a ""scrub bull"" that he hires out (9).  But although the narrator calls his home a ""house"" three times in one paragraph, it is almost certainly what in other texts, and elsewhere in <em>The Mansion</em>, Faulkner calls a ""cabin,"" a building with at most two rooms.</p>","","","","","","","","","Negro Farm with Bull","Continuous","Farm","Site of Event","Negro Farm with Bull","","","",""
"The Mansion","M","021","Varner's Store","Office/store","Faulkner map","""An Error in Chemistry"", ""By the People"", ""Centaur in Brass"", ""Fool About a Horse"", ""Hand Upon the Waters"", ""Lizards in Jamshyd’s Courtyard"", ""Spotted Horses"", ""The Hound"", ""Tomorrow"", As I Lay Dying, Flags in the Dust, Intruder in the Dust, Light in August, Requiem for a Nun, The Hamlet, The Town","1 599","1 400","<p>The only store in Frenchman's Bend is one of the many properties owned by Will Varner. This furnish store is both the place where the many tenant farmers on other Varner lands are expected to buy all their supplies and the hub of the hamlet's social life. Indeed, the store is a center of economic and social relations for the community, structured upon the lien-system that emerged during Reconstruction, according to which tenant farmers are equipped from the store and consequently saddled with a ""furnish bill"" (310) that they have to pay off at the end of each growing season. The ""front gallery"" or porch (8) of the store appears to be constantly occupied by a number of men who never buy anything, but are simply there for conversation. The store is initially run by Jody Varner, but is then taken over by Flem Snopes who, in turn, relinquishes responsibility to his family members.</p>","","","","","","","","","Varner's Store","Continuous","Country Store","Site of Event","","","","",""
"The Mansion","M","829","Quiet Road in Frenchman's Bend","Event","Context (text, as interpreted)","""The Hound"", The Hamlet, The Town","1 616","1 341","<p>The spot that Mink picks for his ambush is described as a ""thicket"" fifty yards down from where ""the road from Houston's to Varner's store crossed the creek bridge"" (42).</p>","","","","","","","","","Site of Houston's Killing","Continuous","Country Road","Site of Event","","","","",""
"The Town","T","1046","Jefferson Backstreets","YoknapatawphaInset","Context (text, as interpreted)","""Miss Zilphia Gant""","1 837","528","<p>This icon represents the ""back streets around the edge of town"" where Ratliff is driving while telling Chick about Montgomery Ward Snopes' ""canteen business"" (120).</p>","","","","","","","","","Backstreets and Alleys","Continuous","Alley|Backstreet","Site of Event","","1355","840","",""
"The Town","T","1170","Cotton House Where Wesley Snopes Is Caught","Other Structure","Speculation","The Mansion","1 489","1 390","<p>Located somewhere in Frenchman's Bend, this ""empty cotton house"" is where the  ""a posse of enraged fathers"" finds the Snopes who had teaching the school and holding ""revival services and baptisings"" having sex with ""a fourteen-year old girl"" (43).</p>","","","","","","","","","Empty Cotton House","Continuous","Cotton House","Site of Event","","","","",""
"The Town","T","085","Bridge over the Creek at Frenchman's Bend","Other Structure","Context (text, as interpreted)","""Spotted Horses"", The Hamlet","1 545","1 353","<p>The wooden bridge over which one of ""them wild Snopes ponies"" (35) escapes is located ""just this side of Bookright's turn-off"" - i.e. the road that leads to Bookright's farm (36).  Because Ratliff can hear the horse's hooves as it crosses, the bridge must be fairly close to Mrs. Littlejohn's.</p>","","","","","","","","","Wooden Bridge","Continuous","Bridge","Only Mentioned in Text","","","","",""
"The Town","T","773","Frenchman's Bend Church","Church","Context (text, as interpreted)","""By the People"", ""Hand Upon the Waters"", ""Shingles for the Lord"", As I Lay Dying, The Hamlet, The Mansion","1 520","1 372","<p>The church in Frenchman's Bend is run by Mrs. Varner ""with the cold high-handedness of a ward-boss"" (289).  Our decision about where to located it is based on a passage in <em>The Hamlet</em>: when Mrs. Armstid looks ""up the road"" from Varner's store, she sees (in this order) Mrs. Littlejohn's, the school, and then, the church.</p>","","","","","","","","","Frenchman's Bend Church","Continuous","Church","Only Mentioned in Text","","","","",""
"The Town","T","605","Jefferson Blacksmith Shop","YoknapatawphaInset","Speculation","","1 519","460","<p>Owned by Uncle Noon Gatewood, the Jefferson blacksmith shop is located ""on the edge of town"" (68).  Gatewood is described as ""yellow,"" a term which identifies him as a light-skinned Negro - making this one of the few black-owned businesses mentioned in the fictions.</p>","","","","","","","","","Jefferson Blacksmith Shop","Continuous","Blacksmith Shop; Negro-owned Business","Site of Event","","1320","764","",""
"The Town","T","1044","Northern Colleges","OutOfYoknapatawpha","Text (when unambiguous)","","2 552","820","<p>Gavin tries to convince Linda Snopes to leave Mississippi to attend one of ""the smart 'finishing' schools north of Mason's and Dixon's"" (221).  The Mason-Dixon line, named for the two surveyors who drew it in the 1760s, is often used to represent the boundary between The North and The South as two parts of the U.S.  As examples of the schools he has in mind, Gavin lists ""Bennington and Bard and Swarthmore"" (224).  Our icon appears on the Vermont site of Bennington, an all-female college until after the novel was published.  The other schools, however, don't seem to fit Gavin's ""finishing-school"" designation.  Bard College, in New York state, was all-male until 1944.  Swarthmore, in Pennsylvania, has been co-educational since its founding in the 1860s.</p>","","","","","","","","","Northern Women's Colleges","Continuous","School","Only Mentioned in Text","","","","",""
"The Town","T","511","Yale University, New Haven","OutOfYoknapatawpha","Text (when unambiguous)","""Ad Astra"", ""Centaur in Brass""","2 555","850","<p>Gavin Stevens wryly concedes that he knows the ""young"" Mr. Stone, ""even if he did go to New Haven"" (342).  The reference is to Yale University, in New Haven, Connecticut, traditional Ivy League rival of Harvard, where Gavin himself went.</p>","","","","","","","","","New Haven","Continuous","School","Only Mentioned in Text","","","","",""
"The Town","T","803","Georgia in the Civil War","OutOfYoknapatawpha","Text (when unambiguous)","""Ambuscade"", ""Appendix: Compson"", ""Raid"", Absalom, Absalom!, Requiem for a Nun, The Unvanquished","2 529","321","<p>""Chickamauga and Lookout Mountain,"" in northern Georgia and southern Tennessee, were the locations of two major Civil War battles fought in the fall of 1863 (152).</p>","","","","","","","","","Chickamauga, Georgia","Continuous","Combat Zone","Only Mentioned in Text","","","","",""
"The Town","T","1043","West Point, New York","OutOfYoknapatawpha","Text (when unambiguous)","","2 538","835","<p>The United States Military Academy at West Point, where Manfred de Spain went, has trained officers for the Army since 1802.</p>","","","","","","","","","West Point","Continuous","Military Base; School","Only Mentioned in Text","","","","",""
"The Town","T","263","California","OutOfYoknapatawpha","Text (when unambiguous)","""Appendix: Compson"", ""Uncle Willy"", Absalom, Absalom!, Light in August, Requiem for a Nun, The Mansion","2 054","894","<p>Three different locations in California, and California itself as a destination, are mentioned in <em>The Town</em>.  ""California"" is linked with ""Texas"" and ""Mexico"" as a place to run away to (346).  Chick references ""San Francisco's Chinatown"" - ""half the world or anyway half the continent"" away - when he notes that these is one ""Chinaman"" who lives in Jefferson; ""we all knew about San Francisco's Chinatown"" (321) - ""we"" of course being the white townspeople.  And the ""limousines"" at the funeral of Melisandre Backus' husband would not have shamed ""Hollywood itself"" (187).  It's not clear what Chick knew about Hollywood, but by the time he wrote <em>The Town</em> Faulkner himself had worked there often as a screen writer, beginning in 1932 and ending only when he no longer needed the money.</p>","","","","","","","","","California","Continuous","State; City","Only Mentioned in Text","","","","",""
"The Town","T","946","Jefferson Church","YoknapatawphaInset","Context (text, as interpreted)","","1 695","472","<p>When World War I ends, the event is celebrated with the ringing of ""the courthouse bell"" and ""all the church bells too,"" on all ""the Sunday steeples"" around town (118).  This icon represents those various churches.  One of them would be the Episcopal church, mentioned separately in the novel as ""the oldest extant building in town""  (321).  The novel does not mention the denomination of any of these other churches, but the other three main denominations in Jefferson and Yoknapatawpha are Baptist, Methodist and Presbyterian - all Protestant.</p>","","","","","","","","","Jefferson Churches","Continuous","Church","Only Mentioned in Text","","1298","819","",""
"The Town","T","1042","Italy","OutOfYoknapatawpha","Text (when unambiguous)","""Knight's Gambit"", Absalom, Absalom!, Flags in the Dust, Requiem for a Nun, The Mansion","2 502","1 307","<p>Well known for its marble and sculpture craftsmanship, Italy is where Gavin sends a photograph of Eula to have a medallion carved to fasten to her monument.</p>","","","","","","","","","Italy","Continuous","European City; Studio","Only Mentioned in Text","","","","",""
"The Town","T","032","Jefferson Doctor's Office","YoknapatawphaInset","Context (text, as interpreted)","""Fool About a Horse"", As I Lay Dying, Flags in the Dust, The Reivers , The Sound and the Fury","1 727","373","<p>Doctor Peabody's office is located above Christian's drugstore.  (Since Digital Yoknapatawpha can't display Locations vertically, we've located in just north of the drugstore.)</p>","","","","","","","","","Doctor Peabody's Office","Continuous","Doctor's Office","Only Mentioned in Text","","1310","764","",""
"The Town","T","517","Jefferson Ten-Cent Store","YoknapatawphaInset","Context (text, as interpreted)","""Hair"", ""Shall Not Perish""","1 806","445","<p>Relatively new to Jefferson, the local ""ten cent store"" is where shopping bags are given away to customers (242).  (Also called ""five-and-dime"" or ""nickel-and-dime"" stores, these stores were distinguished for the variety of low-cost merchandise they stocked.  The first such stores were opened in Pennsylvania by the Woolworth Brothers in the late 19th century. By the early 20th century they were common in the South.)</p>","","","","","","","","","Ten-Cent Store","Continuous","Dime Store","Only Mentioned in Text","","1318","805","",""
"The Town","T","1040","New Market","Event","Speculation","","1 359","238","<p>New Market is apparently a hamlet in Yoknapatawpha County where Gavin Stevens goes to a ""supervisor's meeting on some more of the drainage canal business"" (268).  ""Some more"" seems to connect with an earlier reference to the ""squabble over a drainage tax suit"" (181) in Wyott's Crossing, so we have located New Market near that other location.  But It does not appear in any other fiction, so we have no clear evidence as to where Faulkner imagined it to be.</p>","","","","","","","","","New Market","Continuous","Hamlet","Only Mentioned in Text","","","","",""
"The Town","T","489","Road Between Jefferson and Frenchman's Bend","Event","Context (text, as interpreted)","""Fool About a Horse"", ""Hand Upon the Waters"", ""Shall Not Perish"", ""Spotted Horses"", ""The Hound"", ""Two Soldiers"", Light in August, The Hamlet, The Mansion","1 483","1 095","<p>In this novel, the road from Frenchman's Bend to Jefferson is identified as the ""southeast road"" (4).</p>","","","","","","","","","Southeast Road","Continuous","Country Road","Site of Event","","","","",""
"The Town","T","1039","Jefferson Tailor Shop","YoknapatawphaInset","Context (text, as interpreted)","","1 665","508","<p>The tailor shop is owned by Mr. Kneeland and is where all the men in Jefferson rent their ""dress suits"" for the Cotillion Ball (73).</p>","","","","","","","","","Jefferson Tailor Shop","Continuous","Specialty Store","Only Mentioned in Text","","1288","880","",""
"The Town","T","1038","Snopes Children's Camp in Frenchman's Bend","Other Structure","Context (text, as interpreted)","","1 652","1 365","<p>After Flem sends them to Frenchman's Bend, Byron Snopes' children build ""a play house or cave or something in another ditch about a half mile up the road"" (387) from Varner's store.  ""Play house"" seems very inappropriate when they tie Clarence Snopes ""to a blackjack sapling with something less than a cord of wood stacked around him"" and light it on fire (388).</p>","","","","","","","","","Snopes Children's Camp 2","Built","Play House","Site of Event","","","","",""
"The Town","T","024","Tulls' Farm","Farm","Speculation","""Shingles for the Lord"", As I Lay Dying, Sanctuary, The Hamlet","1 839","1 401","<p>Tull's farm is one of the Yoknapatawpha locations that Faulkner moves around to suit the demands of his various fictions; however, it is always near Frenchman's Bend.  In this novel it is near Dewitt Binford's home.</p>","","","","","","","","","Tull's Farm","Continuous","Farm","Only Mentioned in Text","","","","",""
"The Town","T","1037","Binford House","House","Context (text, as interpreted)","","1 722","1 311","<p>Dewitt Binford and his wife, nee Snopes, live ""near Varner's store"" in Frenchman's Bend (383).  That's where Flem Snopes sends children of Byron Snopes and an Apache woman - ""the four Snopes Indians or Indian Snopeses, whichever is right"" (381) - to stay after their misadventures in Jefferson.  The children have a room and a bed, but prefer to drag a ""quilt off onto the floor"" and lie on it: ""the bedstead itself dismantled and leaned against the wall in a corner out of the way"" (384).</p>","","","","","","","","","Dewitt Binford's House","Continuous","Lower-class House","Site of Event","","","","",""
"The Town","T","1036","Snopes Children's Camp in Jefferson","YoknapatawphaInset","Context (text, as interpreted)","","1 650","599","<p>The four children whom Byron Snopes sent to Jefferson have ""a camp or reservation or whatever you might call it in a cave they dug in the big ditch behind the school house"" (382).</p>","","","","","","","","","Snopes Children's Camp","Built","Ditch","Only Mentioned in Text","","1255","840","",""
"The Town","T","1034","Widrington House","YoknapatawphaInset","Speculation","","1 889","528","<p>The Widringtons live in one of Jefferson's new developments in town, built after the streets were paved.  The Widringtons have a Cadillac and a dog ""that they said cost five hundred dollars"" (380).  When not riding in the Cadillac, the dog is seen ""sneering out through the window in the house where it - they - lived"" (381).</p>","","","","","","","","","Widrington Home","Continuous","Middle-class House","Site of Event","","1375","843","",""
"""A Bear Hunt""","ABH","439","Mississippi State Insane Asylum (Jackson)","OutOfYoknapatawpha","Text (when unambiguous)","""Appendix: Compson"", ""Uncle Willy"", As I Lay Dying, The Sound and the Fury, The Town","2 315","425","<p>The Mississippi State Insane Asylum - which Ratliff refers to as ""the Jackson a-sylum"" (75) - was located in the state capital, Jackson, until 1935.</p>","","","","","","","","","Jackson Asylum","Continuous","Hospital","Only Mentioned in Text","","","","",""
"""A Bear Hunt""","ABH","1033","River Road to Indian Settlement","Event","Context (text, as interpreted)","","741","156","<p>When Provine leaves camp to go to the mound, he travels down ""the road that went down the bottom"" (72).  Given the fact that the woods in the story are called a ""jungle of cane and gum and pin oak"" (65), this ""road"" is probably more like a path.</p>","","","","","","","","","Road through the Woods","Continuous","Country Road","Site of Event","","","","",""
"""A Bear Hunt""","ABH","1026","First Hunting Stand in Big Woods","Event","Context (text, as interpreted)","","945","243","<p>A deer-hunting ""stand"" can be a structure, a platform attached to a tree that allows the hunter to wait a dozen or so feet above the ground for his prey to walk past - or ""stand"" can simply mean a specific place on the ground, usually against a tree, where the hunter waits.  In either case, when a group is hunting, ""stands"" are a way to make sure that everyone in the party knows where the other hunters are.  In this story, the ""deer standers"" are spaced in at least three places along the railroad track that runs through the woods; this first stand is occupied by Ike McCaslin (69). The fact that Ike ""turns"" to Provine, who is sitting ""down on a log behind"" him, suggests that the stands in this story are simply assigned spots ""along the log-line levee"" (69).</p>","","","","","","","","","First Hunting Stand","Continuous","Hunting Grounds","Site of Event","","","","",""
"""A Bear Hunt""","ABH","1027","Third Hunting Stand in Big Woods","Event","Context (text, as interpreted)","","1 018","223","<p>A deer-hunting ""stand"" can be a structure, a platform attached to a tree that allows the hunter to wait a dozen or so feet above the ground for his prey to walk past - or ""stand"" can simply mean a specific place on the ground, usually against a tree, where the hunter waits.  In either case, when a group is hunting, ""stands"" are a way to make sure that everyone in the party knows where the other hunters are.  In this story, the ""deer standers"" are spaced in at least three places along the railroad track that runs through the woods; the hunters at this ""next"" stand order Provine  back to the camp when they hear him, and his hiccups, coming their way (69).</p>","","","","","","","","","Third Hunting Stand","Continuous","Hunting Grounds","Site of Event","","","","",""
"""A Bear Hunt""","ABH","836","Second Hunting Stand in Big Woods","Event","Context (text, as interpreted)","","986","232","<p>A deer-hunting ""stand"" can be a structure, a platform attached to a tree that allows the hunter to wait a dozen or so feet above the ground for his prey to walk past - or ""stand"" can simply mean a specific place on the ground, usually against a tree, where the hunter waits.  In either case, when a group is hunting, ""stands"" are a way to make sure that everyone in the party knows where the other hunters are.  In this story, the ""deer standers"" are spaced in at least three places along the railroad track that runs through the woods; this ""next stand"" is occupied by at least two unnamed men (69).</p>","","","","","","","","","Second Hunting Stand","Continuous","Hunting Grounds","Site of Event","","","","",""
"""A Bear Hunt""","ABH","838","Logging Company Railroad","Event","Context (text, as interpreted)","""Lion"", Go Down, Moses","916","253","<p>In Faulkner's hunting stories, a ""log-line"" is a temporary spur railroad that has been built by a lumber company to carry the trees they cut down out of the woods.  Therefore the story's ""log-line levee"" is probably an earthen dyke that has been built to keep the tracks from being flooded when the river rises, though it could instead be the raised and flattened bed on which the tracks run (69).</p>","","","","","","","","","Log-Line Levee","Continuous","Railroad Track","Only Mentioned in Text","","","","","""Lion"", Go Down, Moses"
"""A Bear Hunt""","ABH","1032","Chickasaw Settlement and Store","Other Structure","Context (text, as interpreted)","","650","186","<p>In this story a ""remnant"" of the ""once powerful"" Chickasaw tribe still lives in the Yoknapatawpha in the 20th century, ""under Government protection,"" in ""their own settlement,"" apparently a kind of reservation that includes their own ""store"" (65).  Historically, however, almost no federally sanctioned Chickasaws remained in the region after they were removed west of the Mississippi River in the 1830s.  In addition, the story's Chickasaw culture is organized around a large Indian mound - although historically the mounds were built by an aboriginal people who inhabited the land well before the arrival of the Chickasaws.</p>","","","","","","","","","Chickasaw Settlement","Continuous","Indian Settlement; Country Store","Only Mentioned in Text","","","","",""
