"Code","LocationName","Authority","Description","DisplayLabel","DisplayType","X","Y","LocDescription","DisplayName","JeffersonDescription","JeffersonLabel","JeffersonX","JeffersonY","SortName","Region"
"1023","Saratoga, New York","","","","","","","<p>Saratoga, the town in upstate New York that was the site of a decisive American victory over the British during the Revolutionary War, becomes part of the Yoknapatawpha story in the last two volumes of the Snopes trilogy.  In <em>The Town</em>, Eula Snopes tells Gavin Stevens about V.K. Ratliff's ""six or eight or ten times grandfather,"" who was an ensign in the British army that surrendered there (338).  <em>The Mansion</em> refers specifically to ""Bemis's Heights"" and ""Freeman's Farm"" (198), two of the places in Saratoga on which the major fighting took place.</p>
","Saratoga, New York","","","","","Saratoga, New York","N"
"1024","Coca Cola Bottling Plant","","","","","","","<p>Characters in various Yoknapatawpha fictions drink 'cokes,' but <em>The Town</em> is the only text that refers to the bottling plant.  Historically, Coca Cola opened bottling plants throughout the state of Mississippi beginning in 1906, so it's no surprise that there is one in Jefferson.  It appears to be on the outskirts of town where Byron Snopes's children are found, the little one with syrup spilled down the front of its nightshirt (379).</p>
","Coca Cola Bottling Plant","","","","","Coca Cola Bottling Plant","J"
"1026","First Hunting Stand in Big Woods","","","","","","","<p>A deer-hunting 'stand' can be a structure, a platform attached to a tree that allows the hunter to wait a dozen or so feet above the ground for his prey to walk past - or the term 'stand' can simply mean a specific place on the ground, usually against a tree, where the hunter waits.  In the Yoknapatawpha fictions it usually is the second kind of 'stand' that is meant.  In either case, it's a safety precaution: when a group of hunters go into the woods at the same time, as is also the usual case in Faulkner's fictions, each man stays at his 'stand' and knows where the other hunters are.  In ""A Bear Hunt"" the ""deer standers"" are spaced out into at least three places along the railroad track that runs through the woods; this first stand is occupied by Ike McCaslin (69). The fact that Ike ""turns"" to Provine, who is sitting ""down on a log behind"" him, suggests that the stands in this story are simply assigned spots ""along the log-line levee"" (69).</p>
","First Hunting Stand in Big Woods","","","","","First Hunting Stand in Big Woods","NW"
"1027","Third Hunting Stand in Big Woods","","","","","","","<p>A deer-hunting 'stand' can be a structure, a platform attached to a tree that allows the hunter to wait a dozen or so feet above the ground for his prey to walk past - or the term 'stand' can simply mean a specific place on the ground, usually against a tree, where the hunter waits.  In the Yoknapatawpha fictions it usually is the second kind of 'stand' that is meant.  In either case, it's a safety precaution: when a group is hunting together, as is also the usual case in Faulkner's fictions, by staying at their 'stands' the hunters know where the other hunters are.  In ""A Bear Hunt""  the hunters at this ""next"" stand order Provine back to the camp when they hear him, and his hiccups, coming their way (69).</p>
","Third Hunting Stand in Big Woods","","","","","Third Hunting Stand in Big Woods","NW"
"1028","Hunting Camp Kitchen","","","","","","","<p>In ""A Bear Hunt,"" when Ratliff summons Ash, one of the Negro servants who accompany the party of white hunters, he goes ""to the door"" of the Major de Spain's hunting camp and yells ""towards the kitchen"" (74).  Even in the wilderness, in other words, the living arrangements follow the pattern of the plantations and town residences where Yoknapatawpha's upper-class white families live.  Kitchens were set apart from the main residence for several reasons - to keep the heat and smell of cooking away from the rest of the house, for example, and to provide a kind of protection against fire - but at the same time the fact that the kitchen was a separate or semi-detached space made it a racially defined space, the place in this story as in so many of the other fictions where black characters can be found when they are not serving their white masters or employers.  This is probably true of the arrangements at De Spain's hunting camp in all of the dozen texts in which it figures, but ""A Bear Hunt"" is the only text to make this explicit.  (See also Compson Inset: Kitchen and Kitchen at MacCallum Place in this index.)</p>
","Hunting Camp Kitchen","","","","","Hunting Camp Kitchen","NW"
"1029","Indian Mound in Big Woods","","","","","","","<p>""Five miles . . . down the river from Major de Spain's camp,"" in a ""wilder part of the river's jungle,"" is the topographical feature in ""A Bear Hunt"" that Ratliff calls ""an Indian mound"" - ""the only elevation of any kind"" in the ""flat jungle of river bottom"" (65).  Many real earthen mounds, built at different times over almost two thousand years by the aboriginal peoples who once occupied Mississippi, still exist.  The frame narrator calls the mound in this story, where he and a friend once spent a sleepless night as boys having an adventure, ""profoundly and darkly enigmatic"" (65), and indeed there are still unanswered questions about the origins and purposes of many of the mounds.  Ultimately in this tale the ""dark power"" of this particular mound is used comically, as a great way to cure hiccups - or take revenge (65).  (See also the entry in this index for Lucas' Hiding Place|Indian Mound.)</p>
","Indian Mound in Big Woods","","","","","Indian Mound in Big Woods","NW"
"103","Leicester Lounge, England","","","","","","","<p>The ""Leicester lounge"" where young Bayard gets into a fight with an Australian major during World War I is presumably in the English city of Leicester, which is 90 miles north of London (124).  Earlier <em>Flags in the Dust</em> had noted that Young Bayard and Johnny Sartoris had gone to England in 1916, where they presumably trained as aviators before going to the war in France.</p>
","Leicester Lounge, England","","","","","Leicester Lounge, England","W"
"1030","Negro Church that Christmas Invades","","","","","","","<p>The Negro church that Joe Christmas invades in <em>Light in August</em> is twenty miles away from Jefferson.  It contains the traditional pews and pulpit, but when Christmas enters it during the night-time service it is also described as having a ""thick, cavelike gloom,"" which is increased by ""two oil lamps"" (322).  The ""churchyard"" consists of ""a pallid crescent of trampled and beaten earth, shaped and enclosed by undergrowth and trees,"" and nearby is at least one cabin, to which Roz is carried after Christmas knocks him out (325).</p>
","Negro Church that Christmas Invades","","","","","Negro Church that Christmas Invades","SW"
"1031","Negro Church where Picnic Occurs","","","","","","","<p>In ""A Bear Hunt"" the African-American church that is the scene of the picnic where Ash first tangled with Provine is ""a few miles from town"" (64) - though the text doesn't tell us in which direction.</p>
","Negro Church where Picnic Occurs","","","","","Negro Church where Picnic Occurs","SE"
"1032","Chickasaw Settlement and Store","","","","","","","<p>The Chickasaw settlement and store in ""A Bear Hunt"" is a good example of how the needs of Faulkner's imagination often take precedence over historical fact. Yoknapatawpha is located in the area that was once occupied by the Chickasaw Indians. According to the story's narrator, a ""remnant"" of this ""once powerful"" tribe still lives in the county in the 20th century, ""under Government protection,"" in ""their own settlement,"" a community that includes their own ""store"" as well (65). But very few Chickasaw and no organized or federally sanctioned ""remnants"" of their clans remained in the region after they were removed west of the Mississippi in the 1830s. In addition, the Chickasaw lived in Mississippi some time after the aboriginal people who constructed the mounds, although here the culture of Faulkner's Chickasaw seems to be organized around the story's large Indian mound.</p>
","Chickasaw Settlement and Store","","","","","Chickasaw Settlement and Store","NW"
"1033","River Road to Indian Settlement","","","","","","","<p>When Provine leaves camp to go to the mound, he travels down ""the road that went down the bottom"" (72).  Given the fact that the woods in ""A Bear Hunt"" are called a ""jungle of cane and gum and pin oak"" (65), this ""road"" is probably more like a path.</p>
","River Road to Indian Settlement","","","","","River Road to Indian Settlement","NW"
"1034","Widrington House","","","","","","","<p>In <em>The Town</em> the Widringtons live in one of Jefferson's new developments, built after the streets were paved.  The Widringtons have a Cadillac and a dog ""that they said cost five hundred dollars"" (380).  When not riding in the Cadillac, the dog is seen ""sneering out through the window in the house where it - they - lived"" (381).  (See also the entry for New Subdivisions in Jefferson in this index.)</p>
","Widrington House","","","","","Widrington House","J"
"1036","Snopes Children's Camp in Jefferson","","","","","","","<p>In <em>The Town</em> the four children whom Byron Snopes sent to Jefferson have ""a camp or reservation or whatever you might call it in a cave they dug in the big ditch behind the school house"" (382).</p>
","Snopes Children's Camp in Jefferson","","","","","Snopes Children's Camp in Jefferson","J"
"1037","Binford House","","","","","","","<p>Dewitt Binford and his wife, nee Snopes, live ""near Varner's store"" in Frenchman's Bend (383).  In <em>The Town</em>, that's where Flem Snopes sends children of Byron Snopes and an Apache woman - ""the four Snopes Indians or Indian Snopeses, whichever is right"" (381) - to stay after their misadventures in Jefferson.  The children have a room and a bed, but prefer to drag a ""quilt off onto the floor"" and lie on it: ""the bedstead itself dismantled and leaned against the wall in a corner out of the way"" (384).</p>
","Binford House","","","","","Binford House","SE"
"1038","Snopes Children's Camp in Frenchman's Bend","","","","","","","<p>After they are moved to Frenchman's Bend in <em>The Town</em>, the ""four half-Snopes half-Apache Indian children"" of Byron Snopes have ""some kind of play house or cave or something in [a] ditch about a mile up the road"" from the Binford house (385); it is where they try to burn Clarence Snopes at the stake (388).   When <em>The Mansion</em> refers to this event, it's Doris Snopes that they're trying to burn, and the place is simply described as ""a stake in the woods"" (328).</p>
","Snopes Children's Camp in Frenchman's Bend","","","","","Snopes Children's Camp in Frenchman's Bend","SE"
"1039","Jefferson Tailor Shop","","","","","","","<p>The town's tailor shop in <em>The Town</em> is owned by Mr. Kneeland and is where all the men in Jefferson rent their ""dress suits"" for the Cotillion Ball (73).</p>
","Jefferson Tailor Shop","","","","","Jefferson Tailor Shop","J"
"104","Jefferson Residential Streets","","","","","","","<p>Several of the fictions refer to the wider, well-shaded streets where are found Jefferson's higher class homes. The street on which Bayard crashes while riding the stallion in <em>Flags in the Dust</em>, for example, leads away from the street with the livery stable on it.  It is described as ""quieter,"" quiet enough to allow children to be playing in it when Bayard and horse suddenly appear (130).  The trees that line it, the cement sidewalks and the presence of black yardmen all suggest a wealthy or at least middle-class white neighborhood.   The one car driving down the street belongs to Narcissa Benbow.  Similarly, the car driving Cotton to the jail in ""The Hound"" passes through the town along a ""smooth street"" (i.e. a paved street) in a prosperous neighborhood where the yards are ""big [and] shady,"" children play, and ""men and women"" walk ""home toward supper"" (163).</p>
","Jefferson Residential Streets","","","","","Jefferson Residential Streets","J"
"1040","New Market","","","","","","","<p>New Market is apparently a hamlet in Yoknapatawpha County.  Gavin Stevens, a county official, goes there in <em>The Town</em> to attend a ""supervisor's meeting on some more of the drainage canal business"" (268).  ""Some more"" seems to connect with an earlier reference to the ""squabble over a drainage tax suit"" (181) in Wyott's Crossing, so we have located New Market near that other location.  But New Market does not appear in any other fiction, so we have no clear evidence as to where Faulkner imagined it to be.</p>
","New Market","","","","","New Market","NE"
"1042","Italy","","","","","","","<p>Only two characters visit Italy in person.  Rome, the country's capital, is one of the European locations from which Mrs. Harriss sends her friends in Yoknapatawpha cards during her travels in ""Knight's Gambit.""  In <em>Flags in the Dust</em> Horace Benbow visits Venice before returning to Jefferson after World War I.  The craftsmen of the Venetian island of Murano have been famous for the quality of their glassware since the end of the 13th century, and it is there that Horace discovers the art of glassblowing that (as a figure for a failed artist) he tries to practice when he's at home again.  Italy is also known as a source for marble and marble sculpture, and that defines its role in three other texts. Despite the circumstances of the Civil War in <em>Absalom!</em>, Thomas Sutpen imports marble tombstones from Italy for himself and his wife.  After Eula Snopes' death in <em>The Town</em> Gavin Stevens sends a photograph of her to Italy to acquire a marble medallion to fasten to her monument in the cemetery.  And the ""eight disjointed marble columns"" that are assembled in Jefferson for the courthouse are imported from Italy (<em>Requiem for a Nun</em>, 36).</p>
","Italy","","","","","Italy","W"
"1043","West Point, New York","","","","","","","<p>The United States Military Academy at West Point, where Manfred de Spain went in <em>The Town</em>, has trained officers for the Army since 1802.</p>
","West Point, New York","","","","","West Point, New York","N"
"1044","Northern Colleges","","","","","","","<p>In <em>The Town</em> Gavin Stevens tries to convince Linda Snopes to leave Mississippi to attend college in Virginia or at one of ""the smart 'finishing' schools north of Mason's and Dixon's"" (221).  The Mason-Dixon line, named for the two surveyors who drew it in the 1760s, is often used to represent the boundary between The North and The South as two distinct parts of the U.S.  As examples of the northern schools he has in mind, Gavin lists ""Bennington and Bard and Swarthmore"" (224).  Bennington in Vermont was an all-female college until after the novel was published.  The other schools, however, don't seem to fit Gavin's ""finishing-school"" designation.  Bard College, in New York state, was all-male until 1944.  Swarthmore, in Pennsylvania, has been co-educational since its founding in the 1860s.</p>
","Northern Colleges","","","","","Northern Colleges","N"
"1046","Jefferson Backstreets","","","","","","","<p>In ""Miss Zilphia Gant"" Zilphia's mother occasionally searches the ""less frequented streets and lanes on the edge of town"" after the adolescent girl begins going off on her own (374).  In <em>The Town</em> Ratliff drives on the ""back streets around the edge of town"" while trying to tell the five-year-old Chick Mallison about Montgomery Ward Snopes' ""canteen business"" in France during World War I (120).    (See also the entry for Jefferson Courthouse and Square, which is the default Location we use for events that take place at a place in Jefferson that is not identified at all.)</p>
","Jefferson Backstreets","","","","","Jefferson Backstreets","J"
"1047","Negro Farm with Bull","","","","","","","<p>This ""Negro's house"" with its ""empty yard"" is where Mink Snopes takes his milk cow in <em>The Mansion</em> ""to claim a second stand from the bull"" after the first one failed to impregnate her (9).  It is ""three miles"" from Mink's cabin, though the novel does not say in which direction.  The Negro who lives there with his family is prosperous enough to own a ""scrub bull"" that he hires out (9).  But although the narrator calls his home a ""house"" three times in one paragraph, it is almost certainly what in other texts, and elsewhere in <em>The Mansion</em>, Faulkner calls a ""cabin,"" a building with at most two rooms.  This Negro family lives either in or near Frenchman's Bend, a part of the county where there are very few blacks, and even fewer black farmers - but in <em>The Hamlet</em> there is also a Negro living one mile from Mink's.  See Nate's Cabin and Negro Cabin near Bend elsewhere in this index.</p>
","Negro Farm with Bull","","","","","Negro Farm with Bull","SE"
"1048","Punkin Creek Mill","","","","","","","<p>In <em>The Mansion</em> Jody Varner tells Mink Snopes that his father has gone to ""look at a mill on Punkin Creek"" (30).  Although the text provides no details about where Punkin Creek is, it's likely that Faulkner is thinking of the actual ""Pumpkin Creek"" in southeastern Lafayette County.</p>
","Punkin Creek Mill","","","","","Punkin Creek Mill","SE"
"1049","Blackwater Slough","","","","","","","<p>A slough is a narrow, shallow inlet or pond, usually in swampy terrain near a river and stagnant.  <em>The Mansion</em> associates the location of ""Blackwater Slough"" (35) with the dam at Varner's Mill, where ""the last bear"" in Frenchman's Bend was seen (34).</p>
","Blackwater Slough","","","","","Blackwater Slough","SE"
"105","Bridge on Valley Road","","","","","","","<p>The wooden bridge over the stream where V.K. Suratt stops to get water for his radiator in <em>Flags in the Dust</em> is somewhere between the road that leads off to Hub's farm and Jefferson, but its precise location is not provided. The novel describes its terrain in particularly sylvan terms: the water ""chuckles and murmurs,"" the stream is lined with ""willows"" that, in the moonlight, cast ""delicate"" shadows on ""the pallid planking of the bridge,"" and so on (139).</p>
","Bridge on Valley Road","","","","","Bridge on Valley Road","NE"
"1051","Beat Nine","","","","","","","<p>Like real Mississippi counties, Yoknapatawpha is divided into administrative districts called ""beats.""  In all but one of Faulkner's fictions, five is the highest number assigned to any beat.  <em>The Mansion</em>, however, refers to the section ""way up"" in Yoknapatawpha where the Nub Gowrie makes his moonshine as ""Beat Nine"" (67). In <em>Intruder in the Dust</em> (1948), Nub lives in Beat Four, in the county's northeast. Faulkner may have decided to re-number this area because in the movie version of <em>Intruder in the Dust</em> (1949), the area is referred to as 'Beat Nine' - or he may just have forgotten what he'd called it before.</p>
","Beat Nine","","","","","Beat Nine","NE"
"1053","Nightingale House","","","","","","","<p>In <em>The Mansion</em> Tug Nightingale and his father live in a ""doll-sized house"" with a ""minute gallery"" - i.e. front porch (203). We have to speculate about where in Jefferson it's located.</p>
","Nightingale House","","","","","Nightingale House","J"
"1055","Jakeleg Wattman's Fishing Camp","","","","","","","<p>In <em>The Mansion</em> this ""so-called"" fishing camp is located at Wylie's Crossing on the Tallahatchie River (244). Jakeleg sells bootleg whiskey from his ""notorious riverbottom joint"" (245). Alcohol cannot legally be sold in Faulkner's Mississippi; whenever this ""joint"" was raided Wattman would move it ""one mile deeper"" into the bottom (244). Consequently, he keeps the store purposefully ""unpainted"" so that he can dismantle it quickly. Inside the little store, there are ""unpainted shelves"" which are ""crowded with fish-hooks and sinkers and lines and tobacco and flashlight batteries and coffee and canned beans and shotgun shells."" ""Tacked on the wall,"" the ""neat row of United States Internal Revenue Department liquor licenses"" offers some pretense of respectability, although Jakeleg himself carefully occupies a ""chicken-wire barricaded counter"" through which he sells his bottles of liquor (244).</p>
","Jakeleg Wattman's Fishing Camp","","","","","Jakeleg Wattman's Fishing Camp","NE"
"1056","Pascagoula, Mississippi","","","","","","","<p>The shipyard where Linda Kohl works during World War II in <em>The Mansion</em> is in a real Mississippi town on the Gulf of Mexico. Historically, Pascagoula is part of an important military-industrial complex that includes the U.S. Naval Station Pascagoula on Singing River Island and the Ingalls Shipbuilding Corporation on the east bank of the Pascagoula River.  In addition to the shipyard, the narrative includes the beach, the hotel where Linda and Gavin Stevens stay in separate rooms, and a ""joint . . . with the radio going full blast"" where they eat supper (276).  Like the rest of Mississippi, Pascagoula is still 'dry' at this time - i.e. it is illegal to sell alcohol - which is why the waitress at that joint can only bring ""glasses and ice,"" while Stevens has to bring ""the flask"" himself (276).</p>
","Pascagoula, Mississippi","","","","","Pascagoula, Mississippi","R"
"1057","Lake Cormorant, Mississippi","","","","","","","<p>Mink Snopes is forced to stop here when he hitchhikes from Clarksdale on his way to Memphis in <em>The Mansion</em>. A real hamlet in DeSoto County located in north-west Mississippi, Lake Cormorant possesses only one distinguishing feature in the novel, for it is home to ""a small tight neatly-cluttered store plastered with placards behind a gasoline pump"" (285).</p>
","Lake Cormorant, Mississippi","","","","","Lake Cormorant, Mississippi","R"
"1058","Memphis: Holcomb House","","","","","","","<p>Somewhere between Lake Cormorant and Memphis, Mink stops at Beth Holcomb's to do yard-work.  It's four miles from Brother Goodyhay's house, which is ""on the edge of Memphis"" (295).  Adjacent to ""a vacant lot,"" Holcomb's ""small house"" sits in ""a small untidy yard"" with ""dead clematis vines"" (291). The ""minuscule front gallery"" of the structure leads in to a sparsely furnished kitchen with ""stove, sink, refrigerator, a table and chair"" (292).</p>
","Memphis: Holcomb House","","","","","Memphis: Holcomb House","R"
"1059","Memphis: Goodyhay House","","","","","","","<p>Four miles from Holcomb House and on the ""edge of Memphis, Tennessee"" is the residence of Brother J.C. Goodyhay (295). In <em>The Mansion</em> Mink Snopes stays three nights in this ""small frame house"" (293). The place is surrounded by a ""tiny savagely untended yard"" which is prelude to ""even more violent desolation"" in the ""backyard,"" which ""contains another house not dismantled so much as collapsed - a jumble of beams, joists, window- and door-frames and even still-intact sections of siding"" (293). With ""no shades nor curtains,"" the interior of Goodyhay's house possesses ""an air of violent transience similar to the indiscriminate jumble of walls and windows and doors"" outside (297). The kitchen is ""not spartan so much as desolate"" (297), its ambience characterized by a ""single unshaded low-watt bulb on a ceiling cord"" (299) and a ""camouflaged battle helmet"" hanging on the back of the door with an ""automatic pistol-butt projecting from its webbing belt"" (298).</p>
","Memphis: Goodyhay House","","","","","Memphis: Goodyhay House","R"
"1060","Pacific Theater in World War II","","","","","","","<p>The Second World War plays a smaller role in Faulkner's Yoknapatawpha fictions than the First, but three texts refer to combat in the Pacific.  In ""Shall Not Perish,"" written and published during the early years of the war, the only two young men from Yoknapatawpha who die in the war - Pete Grier, an enlisted man from Frenchman's Bend, and the son of Major de Spain, an officer like his father - are both killed in naval combat: Grier when the troopship he's on is sunk somewhere in the Pacific, and De Spain when, as Mr. Grier puts it, ""he run his airplane into a Japanese battleship and blowed it up"" (103).  Charles, the narrator of ""By the People"" is about to be shipped to ""the Pacific,"" though he does not give any further details about his military service - and when the same Charles, whose last name is Mallison, re-appears in <em>The Mansion</em>, his wartime service is set in the war's European theater instead.  However, <em>The Mansion</em> does refer to a number of actions that took place in the Pacific: Pearl Harbor (281), Malaya (the Malay Archipelago, which includes the Philippines, 305) and Guadalcanal (309).</p>
","Pacific Theater in World War II","","","","","Pacific Theater in World War II","W"
"1061","Memphis: Goodyhay Chapel","","","","","","","<p>The make-shift church where Brother Goodyhay's congregation meets in <em>The Mansion</em> is, according to the bigoted Mink Snopes, a former ""nigger schoolhouse"" (304).  It is ""an unpainted box of a building"" standing just beyond a crossroads in ""empty"" countryside (304). Its large interior is depicted as similarly plain, with ""backless benches"" for the congregation and, at the front of the room, a ""plank laid across two saw-horses"" for Brother Goodyhay himself (307).</p>
","Memphis: Goodyhay Chapel","","","","","Memphis: Goodyhay Chapel","R"
"1062","Jason Compson's Bungalow","","","","","","","<p>By definition a 'bungalow' is a low house, usually of just one story.  Characters who live in a residence that Faulkner calls a 'bungalow' include Flem Snopes (in ""Centaur in Brass"" and <em>The Town</em>), the Gants (in ""Miss Zilphia Gant""), the ""Gowan Stevenses"" (in <em>Requiem for a Nun</em>) and, here in <em>The Mansion</em>, Jason Compson.  Jason himself was of course born in a mansion, but <em>the</em> mansion of the novel's title - originally owned by the De Spains - is now occupied by Flem.  In the novel the Compson house burns down, and Jason uses the insurance money and ""borrows a little more on the now vacant lot"" to build a ""new brick bungalow up on the main street to the Square"" (355).</p>
","Jason Compson's Bungalow","","","","","Jason Compson's Bungalow","J"
"1064","Negro Cabin on Negro Road","","","","","","","<p>On his way to Jefferson in <em>The Mansion</em>, Mink Snopes turns off the highway onto what the narrative calls ""a Negro road""; the term refers both to its physical characteristics - ""a road marked with many wheels and traced with cotton-wisps"" - and to the explanation for its primitiveness: ""the people who lived on it and used it had neither the voting-power nor the money to persuade the Beat Supervisor to do more than scrape and grade it twice a year"" (438).  As Mink expected, the road leads to a ""weathered paintless dogtrot cabin"" belonging to a black family (438). The structure is ""enclosed and backed by a ramshackle of also-paintless weathered fences and outhouses - barns, cribs, sheds - on a rise of ground above a creek-bottom cotton-patch"" (438).</p>
","Negro Cabin on Negro Road","","","","","Negro Cabin on Negro Road","NE"
"1067","Mink Snopes' Resting Place","","","","","","","<p>This is the place where <em>The Mansion</em> - and thus the larger Snopes trilogy - end.  After leaving the hole where his cabin used to be, Mink walks ""West"" for much of the night, then lies down on a piece of earth (478).</p>
","Mink Snopes' Resting Place","","","","","Mink Snopes' Resting Place","SE"
"1068","Jefferson Cobbler Shop","","","","","","","<p>In <em>The Mansion</em> Tug Nightingale's father is a ""cobbler"" - someone who mends shoes - with a ""little cubbyhole of a shop around a corner off the Square"" (201).  This is the only mention of a shoe-repair business in the Yoknapatawpha fictions, though in a number of them the narrative points out that upper class characters like old Bayard Sartoris (in <em>Flags in the Dust</em>) or Eunice Habersham (in <em>Intruder in the Dust</em>) order their custom-made footwear from remote places like New York.</p>
","Jefferson Cobbler Shop","","","","","Jefferson Cobbler Shop","J"
"1069","Korea","","","","","","","<p>In the short story ""By the People"" Devries earns a Congressional Medal of Honor for his bravery as the commander of a unit of Negro troops during the Korean War.  The Korean peninsula was divided into two countries in 1948.  The Korean War in which Devries served so heroically began in June 1950, when North Korea invaded the South.  U.S. troops began arriving to defend South Korea that same year; by 1951, when Devries arrived there, hundreds of thousands of Americans were engaged.  The War has never formally ended, but armed conflict came to an end in July 1953.  (When Faulkner re-tells Devries' story in <em>The Mansion</em>, he moves this action to World War II.)</p>
","Korea","","","","","Korea","W"
"107","Sewanee University, Tennessee","","","","","","","<p>The full name of the college that is mentioned in <em>Flags in the Dust</em> is Sewanee: The University of the South.  Affiliated with the Episcopal Church, it is located in Sewanee, Tennessee.  Both Horace Benbow and his father, Will, graduated from it as ""honor men"" (176) .   (The character of Gavin Stevens, whom Faulkner created at about the same point that Horace disappears from his imagination and who has a number of similarities to Horace, goes to Harvard University instead.)  Jason Compson thinks of Sewanee in <em>The Sound and the Fury</em>, comparing it ambiguously to Harvard (196).</p>
","Sewanee University, Tennessee","","","","","Sewanee University, Tennessee","R"
"1070","Remish","","","","","","","<p>""Remish"" is the ""manufacturer's name"" of the ""compact smallish"" organs that Ratliff peddles around Yoknapatawpha during the period after World War II (87). He makes the instrument so popular that a part of the county - ""a small collection of houses near a small store a few miles from Frenchman's Bend"" (87) - decides to declare itself a town named ""Remish.""  Historically, organs built for home entertainment enjoyed a vogue during this period, but if Faulkner has a real brand of instrument and a real southern hamlet in mind, we haven't been able to identify them.</p>
","Remish","","","","","Remish","SE"
"1071","Minton|Cumberland County","","","","","","","<p>In ""By the People"" the war hero and anti-Snopes Congressional candidate named Devries is introduced as ""a man from one of the eastern counties in our district"" (133-34). Later in this story the county is identified as ""Minton County,"" like Yoknapatawpha a fictional place (137). When Faulkner included the events of this story in the novel <em>The Mansion</em> he renamed the county Devries is from ""Cumberland,"" also an invented name.</p>
","Minton|Cumberland County","","","","","Minton|Cumberland County","R"
"1072","Big Oat Field by Varner's Pasture","","","","","","","<p>In both ""By the People"" and <em>The Mansion</em> V.K. Ratliff invites Gavin Stevens to come hunt geese in the ""big oat field in the bend below Uncle Billy's pasture"" (139, 352).  Oats are an atypical crop in Yoknapatawpha, where cotton is grown for money and corn to feed livestock and make whiskey, but no other details are provided, not even what ""bend"" is referred to.  It is most likely a bend in a road or a river, but if it were the bend from which Frenchman's Bend derives its name, presumably the word would be capitalized.  However, the field is undoubtedly in the Frenchman's Bend region, since it belongs to ""Uncle Billy"" Varner.</p>
","Big Oat Field by Varner's Pasture","","","","","Big Oat Field by Varner's Pasture","SE"
"1073","Jefferson Hardshell Church ","","","","","","","<p>In <em>The Mansion</em> Tug Nightingale and his father worship at a ""little backstreet Hardshell church"" somewhere in Jefferson (203).  The term ""hardshell"" refers to a branch of the Baptist religion that is extremely conservative.  The novel also includes a Baptist Church in Jefferson, but that is almost certainly a larger, more mainstream branch of the faith - though throughout Faulkner's fiction the Baptists are portrayed as conservative.  Two other texts refer to the Baptist church in Jefferson - ""A Rose for Emily"" and ""That Evening Sun"" - but this is the only reference in the fictions to this ""backstreet"" church.</p>
","Jefferson Hardshell Church ","","","","","Jefferson Hardshell Church ","J"
"1074","Hill Two Miles from Jefferson","","","","","","","<p>According to V.K. Ratliff, one of the narrators of <em>The Mansion</em>, Flem Snopes' father Ab ""never had come no closer [to Jefferson] than that hill two miles out, where you could just barely see the water tank"" (169) - an assertion that contradicts the account of him in <em>The Hamlet</em>.  This hill is probably the same ""final hill"" on the road between Frenchman's Bend and Jefferson that is mentioned in <em>Light in August</em>, from which Lena Grove looks ""across the valley"" and sees ""two columns of smoke"" - one from the power plant's smokestack and the other from the fire at Joanna Burden's (29).</p>
","Hill Two Miles from Jefferson","","","","","Hill Two Miles from Jefferson","SE"
"1075","Negro Cabin at Houston's","","","","","","","<p>According to Mink Snopes in <em>The Mansion</em>, the ""house"" that Houston ""furnishes"" his Negro employee is ""a better house to live in than the one that he, Mink, a white man,"" lives in (10).  Mink lives in a sharecropper's cabin owned by Will Warner.  The novel doesn't describe the Negro's place at all, but it's probably more accurate to think of both houses as cabins.</p>
","Negro Cabin at Houston's","","","","","Negro Cabin at Houston's","SE"
"1076","Memphis: Church Site by Bayou","","","","","","","<p>In <em>The Mansion</em>, Mink Snopes works at two different locations where Brother Goodyhay is trying to build a church.  Both are somewhere between Goodyhay's house and Memphis, and far enough apart that Mink moves between them by truck.  The first construction site - really just a ""stack of dismembered walls"" - is by a ""willow-grown bayou"" just beyond a ""plantation"" with ""broad cotton fields"" (302).</p>
","Memphis: Church Site by Bayou","","","","","Memphis: Church Site by Bayou","R"
"1077","Memphis: Church Site by Dump","","","","","","","<p>After Goodyhay and his congregation are forced to abandon the first building site for their church in <em>The Mansion</em> they travel to a second site somewhere nearby.  Getting there they leave the ""lush Delta"" behind and enter a ""region of desolation,"" defined by its ""eroded barren clay hills"" (303), ending up at ""the uttermost of desolation . . . a dump, a jumbled plain of rusted automobile bodies and boilers and gin machinery and brick and concrete rubble"" (304).  Here Goodyhay again puts down ""the stakes"" and marks out the ""rectangular"" walls of his chapel with ""string tautened rigid between them"" (304).</p>
","Memphis: Church Site by Dump","","","","","Memphis: Church Site by Dump","R"
"1078","Memphis: Teaberry Hotel","","","","","","","<p>The ""Teaberry"" hotel where Montgomery Ward Snopes spends a night in <em>The Mansion</em> on Flem's money (79) is probably Faulkner's way of referring to the Peabody, one of the oldest, poshest hotels in Memphis.  The text distinguishes it from the ""dump"" where Clarence Snopes spends the night, and it is not included in the narrative's reference to the ""pool rooms and the sort of hotel lobbies"" that Clarence patronizes (82).  Faulkner's decision to create a pseudonym for the Peabody is interesting in view of the fact that in <em>Sanctuary</em> he refers to another Memphis hotel, the Gayoso, by its real name.</p>
","Memphis: Teaberry Hotel","","","","","Memphis: Teaberry Hotel","R"
